split	category	expected	left	right
tune	homophone	1	sea	see
tune	homophone	1	night	knight
tune	homophone	1	flower	flour
tune	homophone	1	pair	pear
tune	homophone	1	write	right
tune	homophone	1	peace	piece
tune	homophone	1	meat	meet
tune	homophone	1	weak	week
tune	homophone	1	sun	son
tune	homophone	1	blue	blew
tune	homophone	1	buy	by
tune	homophone	1	one	won
tune	homophone	1	hear	here
tune	homophone	1	whole	hole
tune	homophone	1	break	brake
tune	homophone	1	plain	plane
tune	homophone	1	waist	waste
tune	homophone	1	wait	weight
tune	homophone	1	read	red
tune	homophone	1	lead	led
tune	near	1	adapt	adopt
tune	near	1	ship	sheep
tune	near	1	bit	beat
tune	near	1	bad	bed
tune	near	1	cap	cup
tune	near	1	full	fool
tune	near	1	fan	van
tune	near	1	vest	west
tune	near	1	thin	tin
tune	near	1	coat	goat
tune	near	1	price	prize
tune	near	1	leave	live
tune	near	1	rice	lice
tune	near	1	collect	correct
tune	near	1	access	excess
tune	near	1	affect	effect
tune	near	1	weather	whether
tune	near	1	accept	except
tune	near	1	ice	eyes
tune	near	1	ankle	uncle
tune	spelling-trap	0	cough	though
tune	spelling-trap	0	bough	rough
tune	spelling-trap	0	through	thorough
tune	spelling-trap	0	food	blood
tune	spelling-trap	0	good	mood
tune	spelling-trap	0	low	cow
tune	spelling-trap	0	war	far
tune	spelling-trap	0	move	love
tune	spelling-trap	0	gone	bone
tune	spelling-trap	0	sword	word
tune	spelling-trap	0	comb	bomb
tune	spelling-trap	0	women	woven
tune	spelling-trap	0	colonel	colonial
tune	spelling-trap	0	choir	chair
tune	spelling-trap	0	height	weighty
tune	spelling-trap	0	busy	buying
tune	spelling-trap	0	sew	few
tune	spelling-trap	0	shoe	foe
tune	spelling-trap	0	steak	stomach
tune	spelling-trap	0	great	genuine
tune	unrelated	0	cat	dog
tune	unrelated	0	book	fish
tune	unrelated	0	apple	orange
tune	unrelated	0	table	window
tune	unrelated	0	music	garden
tune	unrelated	0	paper	water
tune	unrelated	0	stone	light
tune	unrelated	0	train	house
tune	unrelated	0	computer	banana
tune	unrelated	0	language	bicycle
tune	unrelated	0	memory	elephant
tune	unrelated	0	history	umbrella
tune	unrelated	0	ocean	pencil
tune	unrelated	0	doctor	mountain
tune	unrelated	0	kitchen	forest
tune	unrelated	0	yellow	purple
tune	unrelated	0	morning	evening
tune	unrelated	0	door	key
tune	unrelated	0	arm	egg
tune	unrelated	0	up	in
acceptance	homophone	1	sail	sale
acceptance	homophone	1	tail	tale
acceptance	homophone	1	mail	male
acceptance	homophone	1	road	rode
acceptance	homophone	1	role	roll
acceptance	homophone	1	soul	sole
acceptance	homophone	1	dear	deer
acceptance	homophone	1	bare	bear
acceptance	homophone	1	fair	fare
acceptance	homophone	1	hair	hare
acceptance	homophone	1	stair	stare
acceptance	homophone	1	board	bored
acceptance	homophone	1	allowed	aloud
acceptance	homophone	1	altar	alter
acceptance	homophone	1	flair	flare
acceptance	homophone	1	principle	principal
acceptance	homophone	1	stationary	stationery
acceptance	homophone	1	cereal	serial
acceptance	homophone	1	profit	prophet
acceptance	homophone	1	throne	thrown
acceptance	near	1	pen	pan
acceptance	near	1	bat	bet
acceptance	near	1	pack	back
acceptance	near	1	pig	big
acceptance	near	1	lock	rock
acceptance	near	1	glass	grass
acceptance	near	1	play	pray
acceptance	near	1	fresh	flesh
acceptance	near	1	sink	think
acceptance	near	1	sick	thick
acceptance	near	1	cheap	chip
acceptance	near	1	pool	pull
acceptance	near	1	sit	seat
acceptance	near	1	luck	lack
acceptance	near	1	bus	buzz
acceptance	near	1	loose	lose
acceptance	near	1	angle	anger
acceptance	near	1	personal	personnel
acceptance	near	1	desert	dessert
acceptance	near	1	economic	economical
acceptance	spelling-trap	0	plough	dough
acceptance	spelling-trap	0	tough	thought
acceptance	spelling-trap	0	broad	toad
acceptance	spelling-trap	0	wash	cash
acceptance	spelling-trap	0	want	pant
acceptance	spelling-trap	0	touch	couch
acceptance	spelling-trap	0	lose	rose
acceptance	spelling-trap	0	pint	mint
acceptance	spelling-trap	0	seize	size
acceptance	spelling-trap	0	paid	said
acceptance	spelling-trap	0	beard	heard
acceptance	spelling-trap	0	put	cute
acceptance	spelling-trap	0	bury	fury
acceptance	spelling-trap	0	deaf	leaf
acceptance	spelling-trap	0	heart	heat
acceptance	spelling-trap	0	leopard	shepherd
acceptance	spelling-trap	0	mature	nature
acceptance	spelling-trap	0	buffet	bullet
acceptance	spelling-trap	0	island	iceland
acceptance	spelling-trap	0	suite	suede
acceptance	unrelated	0	bread	milk
acceptance	unrelated	0	school	beach
acceptance	unrelated	0	phone	clock
acceptance	unrelated	0	coffee	lemon
acceptance	unrelated	0	monkey	rabbit
acceptance	unrelated	0	summer	winter
acceptance	unrelated	0	father	mother
acceptance	unrelated	0	camera	telephone
acceptance	unrelated	0	library	hospital
acceptance	unrelated	0	country	village
acceptance	unrelated	0	energy	potato
acceptance	unrelated	0	bottle	carpet
acceptance	unrelated	0	pocket	engine
acceptance	unrelated	0	chicken	tomato
acceptance	unrelated	0	cloud	bridge
acceptance	unrelated	0	star	moon
acceptance	unrelated	0	gold	silver
acceptance	unrelated	0	earth	sky
acceptance	unrelated	0	at	on
acceptance	unrelated	0	we	us
